signature	description
1	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS1.tt
2	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS2.tt
3	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS3.tt
4	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS4.tt
5	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS5.tt
6	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS6.tt
7	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS7.tt
8	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS8.tt
9	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS9.tt
10	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS10.tt
11	https://cancer.sanger.ac.uk/cosmic/signatures/DBS/DBS11.tt
