signature	description
1	https://cancer.sanger.ac.uk/signatures/id/id1/
2	https://cancer.sanger.ac.uk/signatures/id/id2/
3	https://cancer.sanger.ac.uk/signatures/id/id3/
4	https://cancer.sanger.ac.uk/signatures/id/id4/
5	https://cancer.sanger.ac.uk/signatures/id/id5/
6	https://cancer.sanger.ac.uk/signatures/id/id6/
7	https://cancer.sanger.ac.uk/signatures/id/id7/
8	https://cancer.sanger.ac.uk/signatures/id/id8/
9	https://cancer.sanger.ac.uk/signatures/id/id9/
10	https://cancer.sanger.ac.uk/signatures/id/id10/
11	https://cancer.sanger.ac.uk/signatures/id/id11/
12	https://cancer.sanger.ac.uk/signatures/id/id12/
13	https://cancer.sanger.ac.uk/signatures/id/id13/
14	https://cancer.sanger.ac.uk/signatures/id/id14/
15	https://cancer.sanger.ac.uk/signatures/id/id15/
16	https://cancer.sanger.ac.uk/signatures/id/id16/
17	https://cancer.sanger.ac.uk/signatures/id/id17/
18	https://cancer.sanger.ac.uk/signatures/id/id18/
