signature	description
1	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID1.tt
2	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID2.tt
3	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID3.tt
4	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID4.tt
5	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID5.tt
6	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID6.tt
7	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID7.tt
8	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID8.tt
9	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID9.tt
10	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID10.tt
11	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID11.tt
12	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID12.tt
13	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID13.tt
14	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID14.tt
15	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID15.tt
16	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID16.tt
17	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID17.tt
18	https://cancer.sanger.ac.uk/cosmic/signatures/ID/ID18.tt
